,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
386,marawi,PH,8.0,124.29,84.99,75.0,74,5.99,1594954432.0
387,novo aripuana,BR,-5.12,-60.38,76.1,70.0,62,2.04,1594954432.0
388,jesup,US,31.61,-81.89,80.6,78.0,1,3.83,1594954432.0
389,ayagoz,KZ,47.97,80.44,76.37,45.0,5,12.62,1594954432.0
390,quang ngai,VN,15.12,108.8,94.35,48.0,25,4.14,1594954432.0
391,thamaga,BW,-24.67,25.54,30.2,58.0,0,2.24,1594954432.0
392,poykovskiy,RU,61.23,73.33,64.4,72.0,20,11.18,1594954432.0
393,ibotirama,BR,-12.19,-43.22,70.09,61.0,5,5.26,1594954433.0
394,villa constitucion,AR,-33.23,-60.33,50.0,85.0,0,1.99,1594954433.0
395,jiwani,PK,25.05,61.74,85.51,79.0,50,6.89,1594954433.0
396,maceio,BR,-9.67,-35.74,73.4,69.0,55,4.7,1594954310.0
397,kropotkin,RU,45.44,40.58,67.17,73.0,100,4.94,1594954433.0
398,buala,SB,-8.14,159.59,84.24,73.0,100,9.51,1594954433.0
399,ahipara,NZ,-35.17,173.17,59.5,91.0,100,10.2,1594954433.0
400,mao,ES,39.89,4.27,68.0,82.0,58,3.36,1594954433.0
401,kahului,US,20.89,-156.47,91.4,49.0,40,21.92,1594954433.0
402,tiznit,MA,29.58,-9.5,82.2,36.0,92,2.95,1594954433.0
403,necochea,AR,-38.55,-58.74,45.79,79.0,28,9.04,1594954433.0
404,buritis,BR,-15.62,-46.42,64.67,55.0,8,2.15,1594954433.0
406,paamiut,GL,61.99,-49.67,45.64,74.0,1,12.71,1594954433.0
407,bay roberts,CA,47.6,-53.26,48.99,1.0,100,16.75,1594954433.0
409,hukuntsi,BW,-24.0,21.75,37.42,68.0,0,9.33,1594954434.0
410,atbasar,KZ,51.8,68.33,73.99,57.0,100,13.98,1594954434.0
411,shasta lake,US,40.68,-122.37,95.0,30.0,0,3.0,1594954391.0
412,tefe,BR,-3.35,-64.71,75.02,83.0,79,1.99,1594954434.0
413,imeni babushkina,RU,59.76,43.13,57.58,88.0,73,5.23,1594954434.0
414,sefophe,BW,-22.18,27.97,40.89,89.0,0,3.44,1594954434.0
416,asau,RO,46.43,26.4,54.0,95.0,26,4.16,1594954434.0
417,kloulklubed,PW,7.04,134.26,86.0,70.0,75,8.05,1594954434.0
419,boddam,GB,57.47,-1.78,59.0,93.0,100,8.05,1594954434.0
420,morehead,US,37.27,-87.18,78.01,100.0,40,4.05,1594954434.0
421,sinjar,IQ,36.32,41.88,84.09,30.0,0,5.99,1594954434.0
422,qui nhon,VN,13.77,109.23,87.93,62.0,0,10.31,1594954434.0
423,saurimo,AO,-9.66,20.39,58.84,45.0,0,9.17,1594954434.0
424,arman,RU,59.7,150.17,58.01,77.0,95,5.84,1594954434.0
425,krasnoselkup,RU,65.7,82.47,56.44,64.0,1,17.11,1594954434.0
426,belyy yar,RU,53.6,91.39,68.0,72.0,40,2.24,1594954435.0
427,louis trichardt,ZA,-23.04,29.9,38.37,87.0,0,2.37,1594954435.0
428,pravdinsk,RU,54.44,21.02,59.0,100.0,40,2.24,1594954435.0
429,letterkenny,IE,54.95,-7.73,58.41,94.0,100,5.91,1594954435.0
430,liverpool,GB,53.41,-2.98,62.6,82.0,12,4.7,1594954435.0
431,orbetello,IT,42.44,11.22,68.0,68.0,33,5.82,1594954435.0
432,privolnaya,RU,46.14,38.7,65.73,80.0,99,4.81,1594954435.0
433,russkaya polyana,UA,49.42,31.92,62.1,80.0,86,2.82,1594954435.0
434,teya,RU,60.38,92.63,53.92,71.0,93,11.97,1594954435.0
435,koumac,NC,-20.57,164.28,71.44,50.0,0,9.06,1594954435.0
437,nelson bay,AU,-32.72,152.15,57.2,76.0,90,17.22,1594954435.0
438,rovinj,HR,45.08,13.64,69.8,77.0,100,5.82,1594954435.0
439,palmer,US,42.16,-72.33,68.0,68.0,75,9.17,1594954427.0
440,lichinga,MZ,-13.31,35.24,47.34,90.0,87,12.62,1594954435.0
441,rizhao,CN,35.43,119.46,77.5,69.0,100,9.66,1594954436.0
442,bourail,NC,-21.57,165.48,71.19,51.0,1,11.9,1594954436.0
443,morgan city,US,29.7,-91.21,75.2,94.0,75,4.7,1594954436.0
444,ancud,CL,-41.87,-73.82,51.01,100.0,90,12.75,1594954436.0
445,goderich,CA,43.75,-81.72,68.0,95.0,7,3.0,1594954436.0
446,castellammare del golfo,IT,38.02,12.89,79.0,60.0,0,3.36,1594954436.0
447,saint-denis,FR,48.92,2.33,64.0,82.0,1,2.24,1594954436.0
448,derzhavinsk,KZ,51.1,66.32,74.03,48.0,0,15.3,1594954436.0
449,belaya gora,RU,68.53,146.42,51.15,55.0,93,1.48,1594954436.0
450,bac lieu,VN,9.29,105.72,86.23,66.0,10,4.94,1594954436.0
452,namuac,PH,18.61,121.17,89.01,62.0,100,2.17,1594954436.0
453,shira,RU,54.49,89.95,71.28,62.0,10,11.54,1594954436.0
454,tabou,CI,4.42,-7.35,72.95,85.0,7,7.07,1594954436.0
455,port-cartier,CA,50.03,-66.87,63.0,63.0,75,6.93,1594954437.0
456,velsk,RU,61.07,42.1,57.0,91.0,96,3.11,1594954437.0
457,touros,BR,-5.2,-35.46,71.6,94.0,90,3.36,1594954385.0
458,sioux lookout,CA,50.1,-91.92,66.2,72.0,20,6.93,1594954437.0
459,hidalgo,MX,20.5,-99.0,61.92,94.0,7,6.06,1594954437.0
460,ketchikan,US,55.34,-131.65,60.8,77.0,90,5.82,1594954437.0
461,nyurba,RU,63.28,118.33,58.55,90.0,100,7.16,1594954437.0
462,tadine,NC,-21.55,167.88,73.58,63.0,16,4.79,1594954437.0
463,khani,GE,41.96,42.96,73.4,94.0,90,2.24,1594954437.0
465,kamwenge,UG,0.19,30.45,64.53,76.0,100,1.36,1594954437.0
466,rudnya,RU,54.95,31.09,52.07,92.0,19,5.08,1594954437.0
468,petropavlovsk-kamchatskiy,RU,53.05,158.65,66.2,77.0,20,15.66,1594954438.0
469,nowy sacz,PL,49.62,20.7,57.0,90.0,100,4.0,1594954438.0
470,komsomolskiy,UZ,40.43,71.72,80.6,28.0,100,4.7,1594954438.0
471,antofagasta,CL,-23.65,-70.4,55.4,82.0,90,3.36,1594954290.0
472,kalmunai,LK,7.42,81.82,84.54,71.0,94,0.81,1594954438.0
473,saint-augustin,CA,51.23,-58.65,62.19,57.0,12,8.81,1594954438.0
474,whitehorse,CA,60.72,-135.05,68.0,45.0,75,5.82,1594954195.0
475,bella union,UY,-30.28,-57.6,45.66,96.0,1,7.05,1594954143.0
476,brae,GB,60.4,-1.35,51.8,100.0,100,10.29,1594954438.0
477,rocha,UY,-34.48,-54.33,43.14,93.0,0,6.02,1594954438.0
478,tilichiki,RU,60.47,166.1,52.3,100.0,100,2.1,1594954438.0
479,sangar,RU,63.92,127.47,64.96,70.0,100,3.0,1594954438.0
481,mitzic,GA,0.78,11.55,66.99,99.0,100,2.59,1594954439.0
482,saint-joseph,RE,-21.37,55.62,64.4,82.0,75,5.82,1594954439.0
483,taltal,CL,-25.4,-70.48,57.96,61.0,0,5.53,1594954439.0
484,ponta do sol,PT,32.67,-17.1,66.2,82.0,20,3.36,1594954439.0
485,komsomolets,KZ,53.75,62.07,74.59,65.0,0,5.32,1594954439.0
486,manavalakurichi,IN,8.13,77.3,80.6,78.0,75,13.87,1594954439.0
487,byron bay,AU,-28.65,153.62,69.01,63.0,90,13.87,1594954227.0
488,caarapo,BR,-22.63,-54.82,64.15,83.0,2,3.94,1594954439.0
489,port-gentil,GA,-0.72,8.78,75.11,83.0,99,9.69,1594954439.0
490,catalina,US,32.51,-110.92,98.01,19.0,90,3.0,1594954439.0
491,winchester,GB,51.07,-1.32,62.01,93.0,81,4.7,1594954439.0
492,alice springs,AU,-23.7,133.88,60.8,26.0,0,8.05,1594954175.0
493,meulaboh,ID,4.14,96.13,83.43,76.0,64,2.3,1594954439.0
494,kandy,LK,7.3,80.64,75.15,77.0,100,4.72,1594954439.0
495,namibe,AO,-15.2,12.15,70.29,37.0,0,9.4,1594954439.0
496,dumas,US,35.87,-101.97,87.01,65.0,40,8.05,1594954440.0
497,batemans bay,AU,-35.72,150.18,61.0,52.0,0,3.0,1594954440.0
498,isabela,PH,6.71,121.97,84.74,68.0,64,4.83,1594954440.0
499,namwala,ZM,-15.75,26.44,45.05,82.0,0,6.04,1594954440.0
500,ikalamavony,MG,-21.15,46.58,49.95,78.0,76,8.01,1594954440.0
501,olen,BE,51.13,4.83,60.01,87.0,59,2.24,1594954440.0
502,roebourne,AU,-20.78,117.13,76.59,29.0,0,3.6,1594954440.0
504,banepa,NP,27.63,85.52,77.0,83.0,75,6.93,1594954225.0
505,port angeles,US,48.12,-123.43,63.0,87.0,90,16.11,1594954436.0
506,vieira de leiria,PT,39.87,-8.93,66.0,88.0,31,1.12,1594954440.0
507,guelph,CA,43.55,-80.25,71.01,94.0,1,3.36,1594954279.0
509,ilhabela,BR,-23.78,-45.36,67.55,84.0,78,10.04,1594954441.0
510,ajtos,BG,42.7,27.25,63.0,82.0,0,4.7,1594954441.0
511,kenai,US,60.55,-151.26,66.2,72.0,20,14.99,1594954441.0
512,wukari,NG,7.85,9.78,71.15,96.0,100,8.37,1594954441.0
513,shamary,RU,57.34,58.22,72.97,78.0,83,3.36,1594954441.0
514,burnie,AU,-41.07,145.92,54.0,55.0,0,5.01,1594954442.0
515,san carlos,VE,9.66,-68.58,72.68,92.0,98,1.72,1594954442.0
516,paka,MY,4.64,103.44,86.0,79.0,40,3.36,1594954442.0
517,excelsior springs,US,39.34,-94.23,80.01,78.0,1,6.4,1594954442.0
518,trapani,IT,37.83,12.67,79.0,88.0,20,4.7,1594954442.0
521,brasilia,BR,-15.78,-47.93,62.6,63.0,0,2.24,1594954283.0
522,kirakira,SB,-10.45,161.92,82.81,75.0,7,10.58,1594954442.0
523,castlegar,CA,49.3,-117.67,70.0,46.0,92,1.99,1594954442.0
524,isoka,ZM,-10.16,32.63,47.84,83.0,5,10.98,1594954442.0
525,bonfim,BR,3.08,-59.95,75.79,87.0,67,3.15,1594954442.0
526,beyneu,KZ,45.32,55.2,90.18,16.0,31,5.55,1594954442.0
527,pinawa,CA,50.15,-95.88,62.26,88.0,0,4.7,1594954443.0
528,ostrovnoy,RU,68.05,39.51,53.13,57.0,0,3.67,1594954443.0
529,nome,US,64.5,-165.41,60.8,67.0,90,11.41,1594954443.0
530,porosozero,RU,62.72,32.73,48.83,80.0,0,7.4,1594954443.0
531,havre-saint-pierre,CA,50.23,-63.6,59.0,62.0,90,4.7,1594954443.0
533,aripuana,BR,-9.17,-60.63,72.72,54.0,62,1.12,1594954443.0
534,cartagena del chaira,CO,1.33,-74.84,70.63,95.0,89,1.1,1594954443.0
535,surt,LY,31.21,16.59,77.43,71.0,0,13.31,1594954443.0
536,batagay,RU,67.63,134.63,66.06,32.0,79,2.42,1594954443.0
537,la baneza,ES,42.3,-5.9,60.01,81.0,21,4.7,1594954443.0
538,vanimo,PG,-2.67,141.3,82.9,78.0,42,3.04,1594954443.0
539,makakilo city,US,21.35,-158.09,87.8,70.0,20,13.87,1594954443.0
540,valea ciorii,RO,44.72,27.57,68.0,49.0,70,3.33,1594954443.0
541,clyde river,CA,70.47,-68.59,42.8,87.0,1,4.7,1594954444.0
544,kutum,SD,14.2,24.67,74.95,61.0,93,10.71,1594954444.0
545,isla vista,US,34.41,-119.86,69.01,68.0,1,10.29,1594954207.0
546,lingsugur,IN,16.17,76.52,74.57,84.0,100,16.33,1594954444.0
547,vredendal,ZA,-31.67,18.5,60.04,33.0,0,17.36,1594954444.0
548,pembroke,CA,45.82,-77.12,69.8,88.0,90,3.29,1594954444.0
549,korla,CN,41.76,86.15,85.01,21.0,0,6.8,1594954444.0
550,kitob,UZ,39.08,66.83,92.26,12.0,94,3.0,1594954444.0
551,wasilla,US,61.58,-149.44,73.4,49.0,40,3.36,1594954444.0
552,leh,IN,34.17,77.58,61.11,35.0,2,5.61,1594954444.0
553,jabonga,PH,9.34,125.52,85.59,63.0,51,3.96,1594954444.0
554,labuan,MY,5.28,115.24,84.2,79.0,20,3.36,1594954197.0
555,pompeu,BR,-19.22,-44.94,60.8,89.0,64,4.74,1594954444.0
557,moranbah,AU,-22.0,148.05,65.44,27.0,0,7.16,1594954445.0
558,puerto penasco,MX,31.32,-113.53,87.01,77.0,0,5.01,1594954445.0
559,leningradskiy,RU,69.38,178.42,46.98,78.0,91,14.65,1594954445.0
560,bonavista,CA,48.65,-53.11,48.0,77.0,100,5.01,1594954433.0
561,sambava,MG,-14.27,50.17,68.86,81.0,0,11.45,1594954445.0
562,trinidad,BO,-14.83,-64.9,75.7,68.0,16,1.88,1594954445.0
563,piro,IN,25.33,84.42,91.54,57.0,38,6.62,1594954445.0
564,barranca,PE,-10.75,-77.77,57.96,89.0,19,6.78,1594954445.0
565,san-pedro,CI,4.75,-6.64,71.37,87.0,50,6.42,1594954445.0
566,praia da vitoria,PT,38.73,-27.07,68.0,88.0,75,10.33,1594954445.0
568,stranda,NO,62.31,6.94,62.01,81.0,100,1.01,1594954445.0
569,mecca,SA,21.43,39.83,79.45,39.0,1,6.42,1594954445.0
570,auki,SB,-8.77,160.7,86.2,66.0,78,7.85,1594954445.0
571,port arthur,CN,38.8,121.27,80.6,69.0,78,8.95,1594954445.0
572,richards bay,ZA,-28.78,32.04,51.89,69.0,0,3.44,1594954446.0
573,qinzhou,CN,21.95,108.62,92.39,56.0,98,17.36,1594954446.0
574,pasni,PK,25.26,63.47,85.66,81.0,92,9.24,1594954446.0
575,vostok,RU,46.49,135.88,80.29,49.0,0,6.64,1594954446.0
576,izyum,UA,49.21,37.25,62.53,82.0,100,5.19,1594954446.0
577,suez,EG,29.97,32.53,67.86,81.0,0,4.41,1594954446.0
578,lakhipur,IN,26.03,90.3,85.87,76.0,97,6.29,1594954446.0
579,strezhevoy,RU,60.73,77.59,60.8,72.0,0,6.71,1594954446.0
580,boende,CD,-0.22,20.87,70.61,91.0,93,2.75,1594954446.0
582,adre,TD,13.47,22.2,73.63,78.0,60,4.72,1594954446.0
